DEVELOPMENT_ID,LATITUDE,LONGITUDE,STATE_NAME
NV018002404,36.050707,-114.966989,NV
NY022000002,42.787928,-73.714827,NY
PA006000303,40.504784,-80.140638,PA
OH021000025,39.921108,-83.783733,OH
PA006000501,40.40862,-79.907266,PA
PA018000001,40.561132,-79.736207,PA
PA006000812,40.42487,-79.759047,PA
PA006000502,40.408945,-79.907343,PA
PA018000006,40.576799,-79.767107,PA
PA006000817,40.551216,-80.01506,PA
PA006000504,40.40896,-79.906972,PA
RI008000001,41.375873,-71.825891,RI
PA006000818,40.551222,-80.016367,PA
PA022000004,39.963712,-76.717855,PA
PA006000103,40.652059,-79.709712,PA
SC001000040,32.78956,-79.953818,SC
SC003000100,34.937005,-81.916382,SC
RI006000001,41.775657,-71.40182,RI
TN014000001,35.149567,-86.57825,TN
TN052000001,36.005859,-88.434168,TN
TX018000023,33.572415,-101.939926,TX
TX030000001,31.101678,-97.348027,TX
TX042000001,32.388535,-98.976553,TX
SC003000180,34.954262,-81.94415,SC
TX024000001,33.253432,-95.885779,TX
TX030000003,31.098796,-97.344899,TX
TX204000010,31.742494,-99.323311,TX
TX138000001,33.468683,-95.209296,TX
TX079000001,31.112354,-97.737983,TX
TX206000001,26.074723,-97.475927,TX
TX406000001,30.730868,-95.54296,TX
VA026000001,37.273829,-76.709562,VA
WV024000001,38.358713,-81.740417,WV
TX531000001,33.114168,-94.169977,TX
TX550000001,33.4035,-94.0768,TX
WV003000010,40.070226,-80.721569,WV
IL083000001,42.269596,-89.1441,IL
TX229000001,31.172082,-94.789184,TX
OH008000002,41.221926,-80.823443,OH
TX322150500,30.514547,-97.663035,TX
TX395000001,28.615077,-96.633621,TX
OH004000204,39.184695,-84.422286,OH
CT007000010,41.054551,-73.554805,CT
MD015015853,38.817774,-76.988942,MD
NC087000003,36.122974,-77.16977,NC
MD007000002,39.074563,-77.153155,MD
NC087000001,35.814438,-76.899124,NC
LA106000106,30.44829,-93.426978,LA
LA231000022,30.244538,-93.009972,LA
MD007000001,39.093231,-77.134202,MD
NJ048000003,40.211663,-74.033881,NJ
NY100000001,40.654252,-73.632211,NY
NY026000001,41.081693,-73.86247,NY
TX073000008,26.203877,-98.187212,TX
FL144000001,25.10728,-80.426528,FL
IL044000001,40.566326,-89.648242,IL
KS019000001,39.456444,-98.097578,KS
NC169000050,35.888734,-77.522123,NC
NE039000001,42.502982,-97.203499,NE
NJ050000001,40.7627,-74.202973,NJ
OH059000001,39.60515,-82.932789,OH
TX238000001,32.092331,-96.718472,TX
TX058000001,32.536424,-94.946926,TX
TX355000001,29.177636,-96.282111,TX
TX150000001,31.0341,-96.6193,TX
TX272000001,31.656375,-95.074285,TX
TX080000001,32.758799,-99.898273,TX
TN035000002,35.914836,-86.877416,TN
TX172000001,32.124791,-99.166761,TX
TX273000001,31.625854,-96.282766,TX
TX194000001,34.426287,-100.207682,TX
TX457000001,32.514544,-94.364932,TX
TX323000001,28.982139,-98.013901,TX
VQ001000012,18.3388,-64.9133,VI
WA005000016,47.237399,-122.443716,WA
RQ005001001,18.3802,-67.1807,PR
RQ005001009,18.4235,-67.1556,PR
RQ005001011,18.4531,-67.1265,PR
RQ005001012,18.4362,-67.1505,PR
RQ005001013,18.4975,-67.0212,PR
RQ005001014,18.5085,-67.0559,PR
RQ005002004,18.4676,-66.7262,PR
RQ005001020,18.4842,-67.0179,PR
RQ005002006,18.443,-66.7476,PR
RQ005002007,18.434761,-66.758024,PR
RQ005002012,18.3213,-66.4703,PR
RQ005002022,18.4706,-66.9423,PR
RQ005002032,18.4379,-66.4236,PR
RQ005002033,18.4379,-66.4236,PR
RQ005003001,18.400607,-66.168392,PR
RQ005003005,18.3571,-66.1841,PR
RQ005003013,18.3805,-66.1797,PR
RQ005003006,18.4169,-66.1603,PR
RQ005003016,18.401145,-66.150494,PR
RQ005003014,18.367,-66.1836,PR
RQ005004006,18.22898,-66.033167,PR
RQ005004010,18.2243,-66.05,PR
RQ005004013,18.2297,-66.0422,PR
RQ005003027,18.3735,-66.0954,PR
RQ005004016,18.2249,-65.925,PR
RQ005005001,18.3961,-65.9244,PR
RQ005005006,18.3858,-65.9642,PR
RQ005005017,18.2632,-65.6567,PR
RQ005005018,18.2632,-65.6567,PR
RQ005005020,18.3296,-65.6353,PR
RQ005005022,18.4291,-65.8774,PR
RQ005005028,18.372,-66.0168,PR
RQ005006003,18.1987,-66.3344,PR
RQ005005029,18.3731,-66.028,PR
RQ005006004,18.107645,-66.164746,PR
RQ005006006,18.1189,-66.1446,PR
RQ005006008,18.176205,-66.159614,PR
RQ005006007,18.118771,-66.175982,PR
RQ005006001,18.1348,-66.2631,PR
RQ005006013,18.0436,-66.3553,PR
RQ005006021,18.0367,-66.5007,PR
RQ005006022,18.0483,-66.5102,PR
RQ005006024,18.3292,-66.4037,PR
RQ005006029,17.9775,-66.2823,PR
RQ005006028,17.9775,-66.2823,PR
RQ005006034,18.1294,-66.4957,PR
RQ005006019,17.9822,-66.1101,PR
RQ005006036,18.1118,-66.159,PR
RQ005006035,18.1294,-66.4957,PR
RQ005007008,18.1956,-65.7331,PR
RQ005007002,18.1507,-65.8306,PR
RQ005008006,18.1813,-66.9796,PR
RQ005008023,18.164608,-67.141781,PR
RQ005008019,18.189159,-67.159193,PR
RQ005008017,18.2277,-67.17,PR
RQ005010004,18.4667,-66.1015,PR
RQ005009009,18.0609,-66.7247,PR
