development_id,address,city,cbsa_name,cbsa_code,county_name,county_code,state_name,zipcode,latitude,longitude
MI182000001,210 W Garfield Ave Apt 111,Charlevoix,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",99999,Charlevoix,29,MI,63830,45.311444,-85.258855
MO001000065,3902 C D Banks Ave,Saint Louis,"St. Louis, MO-IL Metropolitan Statistical Area",41180,St. Louis City,510,FL,63830,38.646168,-90.235874
MO149000001,1440 Forum Dr,Rolla,"Rolla, MO Micropolitan Statistical Area",40620,Phelps,161,MO,65401,37.954933,-91.752293
FL003019,212 S Howard Ave,Tampa,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",10820,Hillsborough,15,FL,65606,36.695922,-85.460048
MN035000001,805 Fillmore St,Alexandria,"Alexandria, MN Micropolitan Statistical Area",10820,Douglas,41,MN,65606,36.695922,-85.460048
MI183000001,500 Lincoln St Apt 111,Middleville,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",24340,Barry,15,MI,65606,42.717283,-85.460048
MO002000001,1200 Independence Ave,Kansas City,"Kansas City, MO-KS Metropolitan Statistical Area",28140,Jackson,95,FL,65606,39.107086,-94.56818
MO156000001,103 Cherry St,Alton,"Alexandria, MN Micropolitan Statistical Area",99999,Oregon,149,MO,65606,36.695922,-91.402653
MO037000001,401 Aid Ave,West Plains,"West Plains, MO Micropolitan Statistical Area",48460,Howell,91,MO,65775,36.695922,-85.460048
FL003022,5918 N Rome Ave,Tampa,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",24340,Hillsborough,5,FL,63382,39.112845,-85.478504
MN036000001,300 S Minnesota St,Redwood Falls,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",99999,Redwood,127,MN,63382,39.112845,-85.478504
MI186000001,120 Mulberry St,Howard City,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",24340,Montcalm,117,MI,63382,43.39704,-85.478504
MN107000001,1111 Washington Ave,Detroit Lakes,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",99999,Becker,5,FL,63382,46.813307,-95.84531
MO002000003,215 Forest Ave,Kansas City,"Kansas City, MO-KS Metropolitan Statistical Area",28140,Jackson,95,FL,63382,39.112845,-94.56745
MO179000001,1001 S Maple St Apt 1A,Vandalia,"Mexico, MO Micropolitan Statistical Area",33020,Audrain,7,MO,63382,39.301252,-91.48702
MO037000002,105 Crestwood Cir,West Plains,"West Plains, MO Micropolitan Statistical Area",48460,Howell,91,MO,65775,39.112845,-85.478504
FL003023,11201 N 22nd St,Tampa,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",21540,Hillsborough,1,FL,63122,38.575542,-86.966784
MN037000001,215 3rd St SE,Aitkin,"Escanaba, MI Micropolitan Statistical Area",99999,Aitkin,1,MN,63122,38.575542,-86.966784
MI187000001,10570 N Main St Apt 111,Rapid River,"Escanaba, MI Micropolitan Statistical Area",21540,Delta,41,MI,63122,45.929038,-86.966784
MN113000001,407 W Hamilton Ave,Baudette,"Escanaba, MI Micropolitan Statistical Area",99999,Lake Of The Woods,77,FL,63122,48.708996,-94.603241
MO002000006,1319 Vine St,Kansas City,"Kansas City, MO-KS Metropolitan Statistical Area",28140,Jackson,95,FL,63122,39.098256,-94.562793
FL003025,4728 S Trask St,Tampa,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",11700,Hillsborough,89,FL,64801,37.090306,-86.261343
MN038000001,54 4th Ave N,Saint Cloud,"St. Cloud, MN Metropolitan Statistical Area",41060,Stearns,145,MN,64801,37.090306,-86.261343
MI189000001,73860 E Lake St,Covert,"Kalamazoo-Portage, MI Metropolitan Statistical Area",28020,Van Buren,159,MI,64801,42.294176,-86.261343
MO039000001,628 Market Street Ter,Glasgow,"Columbia, MO Metropolitan Statistical Area",17860,Howard,89,MO,65254,37.090306,-86.261343
MO188000001,128 S Wall Ave,Joplin,"Joplin, MO Metropolitan Statistical Area",27900,Jasper,97,MO,64801,37.090306,-94.515635
