DEVELOPMENT_ID,STATE_NAME.x,STATE_CODE,ZIPCODE,INSPECTION_SCORE,INSPECTION_DATE,in_floodplain,inspection_year,latitude,longitude,distance_to_floodzone,census_code,block_group,county,age,total_pop,total_white,total_black,total_hispanic,poverty,income,public_assistance,owner,renter,vehicles,prop_value,age_c,total_pop_c,total_white_c,total_black_c,total_hispanic_c,poverty_c,disability_c,income_c,public_assistance_c,owner_c,renter_c,vehicles_c,prop_value_c
NC013000009,NC,37,27701,89,2015-03-13,0,2015,35.99096625,-78.90869825,36261.6975,370630007001033,370630007001,37063,47.7,998,545,308,127,132,18218,619,115,504,619,293800,34.4,288817,121493,107085,38768,67955,283358,52503,115975,62241,53734,115975,183800
NC020000002,NC,37,27893,96,2015-03-23,0,2015,35.715619999999994,-77.91069833333333,1320.1036473333334,371950008012008,371950008012,37195,33.1,878,9,813,56,237,9733,384,87,297,384,55200,39.9,81581,39416,31173,8103,21179,80444,39847,32003,19213,12790,32003,116300
NC071000001,NC,37,27360,90,2015-03-19,0,2015,35.886183,-80.06496,137.7835192,370570610003006,370570610003,37057,27.1,1636,650,561,425,301,31225,536,242,294,536,71300,41.5,163867,133272,15147,10860,44782,162109,43363,64299,46221,18078,64299,132200
NC052000001,NC,37,28387,99,2015-03-25,0,2015,35.172584,-79.408021,1365.808089,371259508012059,371259508012,37125,57.1,864,48,762,0,200,19418,305,158,147,305,93300,45.1,91743,70935,11325,5710,24529,89364,50998,37143,27714,9429,37143,199100
NC019000001,NC,37,27803,86,2015-03-18,0,2015,35.928668,-77.81392,806.2002712,371270102002005,371270102002,37127,31.2,736,0,736,0,140,19239,282,41,241,282,44300,41,94722,49439,36019,6138,23890,93222,42713,36711,23632,13079,36711,118600
NC079000001,NC,37,28334,83,2015-02-10,0,2015,35.313233,-78.630014,38553.63343,370850701003009,370850701003,37085,38.6,2251,1262,724,182,543,28333,830,423,407,830,147900,33.6,124320,78090,25330,14541,30799,118095,46353,42672,28139,14533,42672,135400
NC093000001,NC,37,28337,99,2015-03-27,0,2015,34.618314,-78.603761,54193.58976,370179504012032,370179504012,37017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6,34720,18868,12055,2623,9375,34298,30096,14401,9690,4711,14401,85000
NC072000004,NC,37,28677,93,2015-03-25,0,2015,35.767452,-80.877495,12783.3033,370970602002029,370970602002,37097,26.8,1649,167,1131,297,442,34180,477,190,287,477,67900,39.9,165066,126743,19984,11836,43897,163879,52306,60893,44390,16503,60893,166300
NE001000002,NE,31,68111,89,2015-03-26,0,2015,41.288823,-95.95342066666666,3382.930658,310550011002003,310550011002,31055,34.6,298,72,194,27,74,27000,140,39,101,140,64000,34,537655,381511,59847,63480,129038,531473,54659,208541,128781,79760,208541,145900
NC114000001,NC,37,28372,72,2015-03-05,0,2015,34.6859404,-79.21985240000001,16614.740352,371559605023011,371559605023,37155,25.4,1530,243,228,3,307,16632,607,169,438,607,106300,35.2,134871,35850,32411,11028,32212,132645,30608,45773,28886,16887,45773,70200
ND022000001,ND,38,58072,89,2015-03-05,0,2015,46.9351985,-98.00383825,725.381350975,380039683001019,380039683001,38003,43.9,1014,967,0,0,256,63056,504,283,221,504,175500,42.8,11097,10403,104,174,3074,10904,53141,5056,3473,1583,5056,97600
NC071000002,NC,37,27360,87,2015-03-20,0,2015,35.896932,-80.09800533333333,173.41332333333335,370570608001003,370570608001,37057,25.2,1920,494,1287,116,448,15094,639,142,497,639,91100,41.5,163867,133272,15147,10860,44782,162109,43363,64299,46221,18078,64299,132200
NE001000009,NE,31,68104,88,2015-03-25,0,2015,41.286004000000005,-96.0034118,7078.009071,310550057003001,310550057003,31055,33.7,885,411,290,130,199,20375,457,152,305,457,88100,34,537655,381511,59847,63480,129038,531473,54659,208541,128781,79760,208541,145900
ND015000001,ND,38,58523,92,2015-04-06,0,2015,47.26968033333333,-101.78510933333332,493.6763558066667,380579617002003,380579617002,38057,39.2,948,884,0,64,212,63393,362,217,145,362,107800,45.6,8633,8104,4,192,2507,8521,72704,3673,3049,624,3673,136600
NE001000030,NE,31,68107,99,2015-03-23,0,2015,41.19341,-95.967703,3404.715615,310550030004012,310550030004,31055,30.9,1505,738,0,767,325,55268,419,212,207,419,106100,34,537655,381511,59847,63480,129038,531473,54659,208541,128781,79760,208541,145900
NE001000022,NE,31,68134,89,2015-03-24,0,2015,41.297287600000004,-96.04807,9212.998743,310550065041003,310550065041,31055,45.9,919,762,33,38,268,85380,321,294,27,321,143500,34,537655,381511,59847,63480,129038,531473,54659,208541,128781,79760,208541,145900
NE001000023,NE,31,68104,85,2015-03-31,0,2015,41.310691,-95.98931,4391.762007,310550063012009,310550063012,31055,26.3,445,17,376,52,78,38977,83,37,46,83,148100,34,537655,381511,59847,63480,129038,531473,54659,208541,128781,79760,208541,145900
NE001000011,NE,31,68110,85,2015-04-02,0,2015,41.304769,-95.942566,2419.516683,310550006001012,310550006001,31055,36.5,673,301,316,25,120,16326,283,121,162,283,57500,34,537655,381511,59847,63480,129038,531473,54659,208541,128781,79760,208541,145900
NE036000001,NE,31,68340,97,2015-01-22,0,2015,40.135061,-97.72327899999999,11355.168085,311699631001154,311699631001,31169,54.5,751,738,0,13,239,53008,343,288,55,343,73100,48.9,5182,4974,3,58,1528,5028,45741,2341,1855,486,2341,64700
NE077000001,NE,31,68760,90,2015-03-19,0,2015,42.749118,-98.033297,34606.16459,311079764002095,311079764002,31107,36.3,1460,526,1,125,365,32784,573,307,266,573,66100,47.6,8556,7423,5,212,2379,8325,45411,3716,2731,985,3716,81200
NE001000029,NE,31,68134,99,2015-03-24,0,2015,41.296904,-96.0472,9175.542734,310550065041004,310550065041,31055,45.9,919,762,33,38,268,85380,321,294,27,321,143500,34,537655,381511,59847,63480,129038,531473,54659,208541,128781,79760,208541,145900
NJ010000004,NJ,34,08104,87,2015-04-14,0,2015,39.918548,-75.11291,401.9080304,340076017002019,340076017002,34007,18.6,1222,0,906,316,275,NA,380,85,295,380,75000,38.3,511998,299665,92793,78615,125478,506316,62185,186101,125702,60399,186101,196800
NE038000001,NE,31,68371,95,2015-01-21,0,2015,40.780556000000004,-97.80928833333334,36606.95186,311859699002046,311859699002,31185,56.6,1013,873,14,105,292,53214,462,395,67,462,98900,41.3,13825,12714,129,626,3794,13256,51802,5604,3850,1754,5604,117600
NE101000001,NE,31,68824,97,2015-01-21,0,2015,40.99973833333333,-98.60766366666667,10951.370733333333,310790001001109,310790001001,31079,37.5,1421,1193,11,183,350,57604,471,350,121,471,128300,35.8,60792,42430,1277,15519,14832,60015,49252,22433,13919,8514,22433,122500
NE109000001,NE,31,68787,91,2015-01-20,0,2015,42.23274166666666,-97.01020533333333,350.2545574,311799787005009,311799787005,31179,31,584,408,69,107,102,NA,284,48,236,284,95200,30.1,9425,8534,315,504,2325,9385,54159,3500,2155,1345,3500,116100
NE046000001,NE,31,69347,97,2015-03-09,0,2015,42.685968,-102.690573,201475.9454,311619517002028,311619517002,31161,32.4,488,456,0,0,110,51563,164,107,57,164,NA,46.1,5294,4391,23,221,1482,5195,41985,2259,1602,657,2259,70200
NJ010000006,NJ,34,08105,84,2015-04-22,1,2015,39.941119,-75.093613,0,340076013002019,340076013002,34007,37.4,1488,0,559,802,283,19986,427,188,239,427,77100,38.3,511998,299665,92793,78615,125478,506316,62185,186101,125702,60399,186101,196800
NJ010000013,NJ,34,08105,80,2015-04-17,0,2015,39.950479,-75.08077,710.1094125,340076011021007,340076011021,34007,31.3,1218,10,436,729,264,22328,430,156,274,430,80900,38.3,511998,299665,92793,78615,125478,506316,62185,186101,125702,60399,186101,196800
NJ010000003,NJ,34,08104,82,2015-04-13,0,2015,39.917191,-75.115703,243.9105834,340076017002029,340076017002,34007,18.6,1222,0,906,316,275,NA,380,85,295,380,75000,38.3,511998,299665,92793,78615,125478,506316,62185,186101,125702,60399,186101,196800
NJ010000019,NJ,34,08105,99,2015-04-08,0,2015,39.950173,-75.079617,803.8139955,340076011021007,340076011021,34007,31.3,1218,10,436,729,264,22328,430,156,274,430,80900,38.3,511998,299665,92793,78615,125478,506316,62185,186101,125702,60399,186101,196800
NJ020000001,NJ,34,08016,95,2015-02-26,0,2015,40.06667,-74.857394,16143.6117,340057012011022,340057012011,34005,47.3,1122,392,492,87,295,71563,434,312,122,434,238700,41,450556,310668,70387,32991,114777,436086,78621,164659,125905,38754,164659,245000
NJ056000001,NJ,34,08757,99,2015-04-07,0,2015,39.946799,-74.20633,59194.93607,340297312052022,340297312052,34029,61.1,1717,1025,521,135,548,45495,779,611,168,779,139300,42.8,583450,496778,16901,51293,149817,578118,61994,222494,178850,43644,222494,262700
NJ017000001,NJ,34,07901,78,2015-02-27,0,2015,40.71678,-74.361869,3702.544422,340390378001017,340390378001,34039,44,1124,720,40,211,237,84816,477,180,297,477,676900,38.1,548744,232402,111478,161529,132591,544225,69594,186175,109992,76183,186175,345500
NJ039000003,NJ,34,07060,82,2015-05-01,0,2015,40.6213026,-74.4199156,263.32868814,340390390001015,340390390001,34039,30.9,1665,141,260,1008,266,60402,419,114,305,419,188800,38.1,548744,232402,111478,161529,132591,544225,69594,186175,109992,76183,186175,345500
NJ064000001,NJ,34,08108,99,2015-03-27,0,2015,39.909271,-75.049943,191.1635471,340076039013000,340076039013,34007,48.8,1289,1230,0,17,332,76563,553,462,91,553,217400,38.3,511998,299665,92793,78615,125478,506316,62185,186101,125702,60399,186101,196800
NJ075000001,NJ,34,07020,92,2015-02-25,0,2015,40.823508,-73.978265,2808.654089,340030130042001,340030130042,34003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,926330,549828,49117,166161,241746,920477,85806,335550,217504,118046,335550,441100
NY012200005,NY,36,12182,88,2015-04-03,0,2015,42.775015,-73.677827,2287.511211,360830402002005,360830402002,36083,42.8,1273,1001,122,150,263,26028,567,141,426,567,75000,39.8,159900,135285,9148,6913,39493,158130,60709,63447,41240,22207,63447,179100
NY030000012,NY,36,14904,83,2015-03-16,0,2015,42.082387,-76.805068,9166.545071,360150010003014,360150010003,36015,35.4,1243,867,65,84,259,15909,578,172,406,578,60500,40.9,88267,76471,5060,2532,21951,83978,50320,35167,24286,10881,35167,100400
NJ055000001,NJ,34,07631,63,2015-04-20,0,2015,40.898197,-73.973535,9580.116857,340030154011007,340030154011,34003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,926330,549828,49117,166161,241746,920477,85806,335550,217504,118046,335550,441100
NY010300000,NY,36,13601,99,2015-04-07,0,2015,43.9739275,-75.90360225,3838.93974275,360450621001027,360450621001,36045,33.7,1455,1230,92,85,252,14839,860,33,827,860,49400,31.8,118947,98419,6123,8266,30116,106421,49505,44306,24610,19696,44306,141000
NY046000008,NY,36,11003,89,2015-02-25,0,2015,40.70663,-73.710288,25390.20451,360594049021000,360594049021,36059,37.6,3211,335,1745,857,661,51989,986,617,369,986,367700,41.3,1354612,851645,147403,213372,337910,1344466,99465,440640,353777,86863,440640,446400
NY032000362,NY,36,12414,92,2015-03-31,0,2015,42.22715,-73.855975,207.1092003,360390810022008,360390810022,36039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2,48312,41658,2786,2563,11541,45396,50278,17634,13261,4373,17634,177700
NY046000011,NY,36,11590,90,2015-04-23,0,2015,40.738797,-73.57478,31034.58661,360594076002008,360594076002,36059,42.2,1436,1183,21,40,407,175179,421,410,11,421,575100,41.3,1354612,851645,147403,213372,337910,1344466,99465,440640,353777,86863,440640,446400
NJ204000001,NJ,34,08071,83,2015-02-24,0,2015,39.7324665,-75.13464625,1699.904874,340155013021016,340155013021,34015,38.5,807,730,8,26,218,56250,352,173,179,352,152200,39.6,290298,231202,28383,15737,75337,288920,76727,104268,82968,21300,104268,214500
NJ076000001,NJ,34,07860,93,2015-03-26,0,2015,41.05644,-74.75715733333334,575.5618717,340373737003007,340373737003,34037,46.5,844,690,33,79,148,36012,417,191,226,417,211200,43.4,145930,127994,2840,10330,39343,144580,86565,53941,44938,9003,53941,270600
NJ071000001,NJ,34,07024,83,2015-02-24,0,2015,40.850269,-73.983462,4398.761091,340030193031008,340030193031,34003,43.8,1580,534,40,226,436,51646,665,368,297,665,450000,41.5,926330,549828,49117,166161,241746,920477,85806,335550,217504,118046,335550,441100
NY046000010,NY,36,11793,91,2015-02-05,0,2015,40.695414,-73.49377,36831.04565,360594097004000,360594097004,36059,58.3,965,839,0,116,224,52031,517,331,186,517,419400,41.3,1354612,851645,147403,213372,337910,1344466,99465,440640,353777,86863,440640,446400
NY023000001,NY,36,11520,89,2015-06-24,0,2015,40.654171500000004,-73.570704,38444.6819475,360594144004008,360594144004,36059,21.6,796,219,230,347,151,56667,176,0,176,176,NA,41.3,1354612,851645,147403,213372,337910,1344466,99465,440640,353777,86863,440640,446400
NY052000001,NY,36,14020,92,2015-01-28,0,2015,42.99027125,-78.16820975,47305.3513025,360379510001013,360379510001,36037,30.7,814,683,63,10,204,32679,395,138,257,395,76400,42.7,59458,54029,1513,1764,15999,58923,50880,23938,17467,6471,23938,107000
NY060000001,NY,36,12010,87,2015-04-27,0,2015,42.940169,-74.196023,10140.60148,360570702002009,360570702002,36057,41.7,1751,1104,1,640,280,18750,855,252,603,855,92300,41,49779,41619,725,6111,12324,49025,43764,19539,13109,6430,19539,101600
NJ204000003,NJ,34,08094,84,2015-02-23,0,2015,39.6810428,-74.9903992,2359.2609586,340155016044009,340155016044,34015,41.5,1511,1096,382,11,370,61776,611,473,138,611,220000,39.6,290298,231202,28383,15737,75337,288920,76727,104268,82968,21300,104268,214500
NY099000001,NY,36,12771,97,2015-04-16,0,2015,41.370756,-74.684098,715.5245391,360710022003000,360710022003,36071,51.2,1273,1008,58,90,217,20714,612,201,411,612,109800,36.8,375384,249415,34951,71699,88788,365674,70848,125270,86184,39086,125270,262500
NY012200002,NY,36,12180,86,2015-04-08,0,2015,42.728532,-73.695089,7668.45943,360830407011016,360830407011,36083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,159900,135285,9148,6913,39493,158130,60709,63447,41240,22207,63447,179100
NY060000002,NY,36,12010,84,2015-04-28,0,2015,42.940434,-74.195407,10111.44429,360570702002009,360570702002,36057,41.7,1751,1104,1,640,280,18750,855,252,603,855,92300,41,49779,41619,725,6111,12324,49025,43764,19539,13109,6430,19539,101600
NY052000002,NY,36,14020,96,2014-12-30,0,2014,42.996518,-78.176858,48289.34756,360379510001006,360379510001,36037,30.2,927,730,97,30,200,38750,442,136,306,442,100500,42.3,59702,54388,1557,1723,16069,59101,50573,23967,17513,6454,23967,105200
NY097000002,NY,36,13617,87,2015-03-30,0,2015,44.590983,-75.177189,69622.06417,360894921003049,360894921003,36089,34.9,1961,1690,36,92,485,30991,677,483,194,677,129300,37.8,112011,103238,2342,2415,26288,108388,44705,41449,29600,11849,41449,87600
NY023000002,NY,36,11520,95,2015-06-24,0,2015,40.652276,-73.576962,38047.82103,360594143041004,360594143041,36059,28.2,2476,273,467,1720,389,65226,593,258,335,593,285800,41.3,1354612,851645,147403,213372,337910,1344466,99465,440640,353777,86863,440640,446400
OH001000110,OH,39,43203,71,2015-02-02,0,2015,39.97692633333333,-82.97761366666667,16750.770223333333,390490029001011,390490029001,39049,19.7,1571,142,1220,103,312,14886,567,45,522,567,76500,33.8,1215761,800021,256550,60943,279594,1207823,52341,480946,258868,222078,480946,150600
NY012200003,NY,36,12180,85,2015-04-02,0,2015,42.706049,-73.695247,10120.33634,360830410001008,360830410001,36083,32.9,1307,796,249,42,280,46071,524,231,293,524,108500,39.8,159900,135285,9148,6913,39493,158130,60709,63447,41240,22207,63447,179100
NY010100000,NY,36,13601,82,2015-04-08,0,2015,43.969703,-75.878305,2269.84217,360450612001013,360450612001,36045,22.3,1506,929,303,188,443,20984,626,8,618,626,NA,31.8,118947,98419,6123,8266,30116,106421,49505,44306,24610,19696,44306,141000
NY097000001,NY,36,13617,90,2015-03-31,0,2015,44.597136,-75.173757,70313.47536,360894921002010,360894921002,36089,20.9,1516,1172,171,113,133,38110,353,200,153,353,130600,37.8,112011,103238,2342,2415,26288,108388,44705,41449,29600,11849,41449,87600
