GEOID,age_c,total_pop_c,total_white_c,total_black_c,total_hispanic_c,poverty_c,income_c,public_assistance_c,owner_c,renter_c,vehicles_c,prop_value_c,year
05045,30.8,104468,87924,10735,3026,26387,44600,38552,25646,12906,38552,123000,2009
05047,41.2,18037,16873,12,424,4640,30991,6800,5227,1573,6800,78900,2009
05049,46.1,11700,11248,0,122,3030,30771,4461,3533,928,4461,81700,2009
05051,44.2,96285,82073,7719,3688,24670,36454,38680,27445,11235,38680,122300,2009
05053,38.7,17544,16252,706,333,5089,51238,6558,5314,1244,6558,96200,2009
05055,37.2,40190,38395,322,680,11652,38012,16392,10910,5482,16392,85400,2009
05057,36.2,23094,12827,6710,3181,6693,35518,8949,6013,2936,8949,65200,2009
05059,39,31621,26779,3244,710,7999,36095,11660,9020,2640,11660,75200,2009
05061,39.2,14253,9462,2986,1499,4007,33180,5463,3892,1571,5463,68600,2009
05063,39.3,34462,31634,861,1028,10148,34798,14431,10567,3864,14431,80200,2009
05065,45.5,13086,12421,218,175,4084,32269,5715,4436,1279,5715,77800,2009
05067,38.6,17038,13146,3290,310,4667,28680,6862,4455,2407,6862,61000,2009
05069,36.3,79698,35114,41156,1228,19761,35265,30168,19407,10761,30168,72900,2009
05071,36.6,24576,20871,385,2757,5995,30953,8911,6287,2624,8911,77100,2009
05073,43.1,7715,4691,2899,68,2214,26491,3130,2381,749,3130,43800,2009
05075,40.3,16912,16269,44,179,4831,29119,7069,4855,2214,7069,56600,2009
05077,37.5,10776,4345,6140,128,2697,26283,4204,2639,1565,4204,52500,2009
05079,36.4,13753,8863,4407,288,3011,34876,4314,3032,1282,4314,64900,2009
05081,41.4,12921,9458,2811,182,3647,32884,5513,3915,1598,5513,73200,2009
05083,40.6,22550,20971,223,510,6336,35716,8821,6943,1878,8821,75400,2009
05085,35.3,63424,55884,4291,1712,17188,50295,23003,17002,6001,23003,115000,2009
05087,40.6,15478,14251,42,716,3872,36667,5440,4188,1252,5440,99100,2009
05089,48.3,16581,15902,0,198,4705,31772,6750,5466,1284,6750,93200,2009
05091,37.5,42971,30783,10152,918,11199,39090,16600,10766,5834,16600,86000,2009
05093,34.6,46778,28703,15712,1444,13215,32940,18639,11079,7560,18639,65600,2009
05095,43.2,8606,4975,3364,85,2479,29607,3739,2273,1466,3739,51000,2009
05097,45.3,9064,8351,0,382,2707,36095,3596,2996,600,3596,77700,2009
05099,40,9324,5934,2573,572,3067,32969,4595,3018,1577,4595,56700,2009
05101,44,8311,7974,31,38,2572,28166,3527,2804,723,3527,76200,2009
05103,42,26016,14926,10308,339,7357,30167,11019,7663,3356,11019,58100,2009
05105,40.7,10294,9658,256,167,3051,44921,4060,3250,810,4060,83800,2009
05107,34.8,22002,7870,13611,413,6201,26336,8905,4706,4199,8905,56600,2009
05109,39.7,10763,9498,417,583,3137,33024,4345,3334,1011,4345,72100,2009
05111,38.2,24865,22074,1826,567,6945,31894,10163,6612,3551,10163,64100,2009
05113,42.5,20140,18394,30,900,5487,33274,7879,6218,1661,7879,78700,2009
