DEVELOPMENT_ID,STATE_NAME.x,STATE_CODE,ZIPCODE,INSPECTION_SCORE,INSPECTION_DATE,in_floodplain,inspection_year,latitude,longitude,distance_to_floodzone,census_code,block_group,county
NJ007000004,NJ,34,07712,52,2018-08-07,0,2018,40.233968,-74.024718,46710.05404333333,340258066005001,340258066005,34025
NJ037000003,NJ,34,07111,61,2018-07-24,0,2018,40.72523016666667,-74.23183266666666,5940.227854999999,340130119002003,340130119002,34013
NJ009000002,NJ,34,07306,70,2018-08-31,0,2018,40.735862399999995,-74.076448,118.39476585999999,340170017011003,340170017011,34017
NJ025000003,NJ,34,07050,43,2018-08-21,0,2018,40.780087,-74.22194,5418.474343,340130182001000,340130182001,34013
NY011000003,NY,36,14301,68,2018-09-13,0,2018,43.095537,-79.0507974,109934.93696,360630209002003,360630209002,36063
NJ021000001,NJ,34,07514,41,2018-08-16,0,2018,40.931591399999995,-74.1437636,16256.860514,340311811011004,340311811011,34031
NJ025000004,NJ,34,07050,78,2018-07-02,0,2018,40.766787,-74.226672,5346.808361,340130184002002,340130184002,34013
NJ009000003,NJ,34,07302,69,2018-08-13,0,2018,40.719218999999995,-74.05981249999999,3.0780533437499997,340170067001005,340170067001,34017
NJ009000010,NJ,34,07305,79,2018-07-30,0,2018,40.7094728,-74.080956,809.98578128,340170068002001,340170068002,34017
NY011000005,NY,36,14305,87,2018-09-12,0,2018,43.107872,-79.05491,110921.7242,360630205001009,360630205001,36063
NJ034000024,NJ,34,07026,79,2018-08-13,0,2018,40.871998,-74.10439,9713.030716,340030215006004,340030215006,34003
NY062000011,NY,36,12601,77,2018-08-16,0,2018,41.71373,-73.929354,1225.544183,360272202014002,360272202014,36027
NJ009000017,NJ,34,07306,73,2018-07-03,0,2018,40.730612799999996,-74.0842664,26.064852918,340170027003003,340170027003,34017
NY082000001,NY,36,10566,77,2018-08-13,0,2018,41.291154,-73.923435,4329.502742,361190141004000,361190141004,36119
NJ037000001,NJ,34,07111,38,2018-07-25,0,2018,40.72339133333334,-74.23271466666667,6070.720594833333,340130124001001,340130124001,34013
PA002000015,PA,42,19122,51,2018-09-12,0,2018,39.973209,-75.152223,2726.4177758,421010146001009,421010146001,42101
NY082000002,NY,36,10566,78,2018-07-18,0,2018,41.293207333333335,-73.92034699999999,4061.907545333333,361190143001004,361190143001,36119
NJ037000002,NJ,34,07111,44,2018-08-23,0,2018,40.724070499999996,-74.23144049999999,5946.064215833333,340130124001000,340130124001,34013
PA002000018,PA,42,19139,74,2018-08-06,0,2018,39.9630784,-75.23176860000001,8540.4124754,421010094001006,421010094001,42101
PA002000031,PA,42,19143,44,2018-12-05,0,2018,39.93108975,-75.21654625,6541.869773750001,421010391002002,421010391002,42101
PA002000042,PA,42,19141,74,2018-08-16,0,2018,40.045269,-75.15338840000001,9512.733465399999,421010279012002,421010279012,42101
PA002000065,PA,42,19121,69,2018-08-09,0,2018,39.9759032,-75.18006960000001,4856.7998736,421010137022011,421010137022,42101
PA002000137,PA,42,19123,79,2018-08-24,0,2018,39.968217249999995,-75.1533065,2462.45102725,421010132001000,421010132001,42101
PA002000032,PA,42,19111,52,2018-11-29,0,2018,40.04219375,-75.087811,6287.693855,421010309003003,421010309003,42101
PA002000010,PA,42,19121,39,2018-12-10,0,2018,39.985743,-75.1716185,4886.590769,421010152003013,421010152003,42101
PA002000164,PA,42,19104,70,2018-07-24,0,2018,39.965222,-75.193324,5453.373908,421010109001013,421010109001,42101
PA002000020,PA,42,19123,58,2018-09-17,0,2018,39.96234025,-75.150757,1955.59644525,421010376001002,421010376001,42101
PA002000127,PA,42,19130,76,2018-09-10,0,2018,39.96407925,-75.16928150000001,3496.4073289999997,421010134023006,421010134023,42101
