"","year","tract","INSPECTION_SCORE","in_floodplain","age_t","total_pop_t","total_white_t","total_black_t","total_hispanic_t","poverty_t","income_t","public_assistance_t","owner_t","renter_t","vehicles_t","prop_value_t","area_t","pop_density_t","cf_riskscore_t","rf_riskscore_t","cf_riskscore_t2","rf_riskscore_t2","per_capita_income_t","yrPolicyCount_t","yrPaidOnBuildingClaim_t","yrPaidOnContentClaim_t","yrClaim_t","totPolicyCount_t","totPaidOnBuildingClaim_t","totPaidOnContentClaim_t","totClaim_t","unit_t","county","urbanrural"
"57",2013,1119011300,93,0,26.9,6127,1770,4219,27,1254,19888,2158,1172,986,2158,83800,942.341999,6.501885734,0,85.12856122,0,88.21548359,12901,0,0,0,0,0,0,0,0,2819,1119,2
"58",2013,1119011500,81,0,41.9,4678,567,4028,55,1200,20962,1899,1311,588,1899,69400,642.306986,7.283121781,0,89.57927032,0,89.37840216,15209,0,0,0,0,0,0,0,0,2366,1119,2
"59",2013,1121011300,78,0,37.7,5750,3213,2409,20,1677,27109,2483,1438,1045,2483,102500,61.685517,93.21474926,0,54.69729088,0,53.75405509,18090,0,0,0,0,0,0,0,0,2878,1121,2
"60",2013,1121011800,97,0,44.2,2237,1457,641,95,471,16961,1006,302,704,1006,74800,3.485755,641.7547992,0,57.83665509,0,56.89091109,14082,0,0,0,0,0,0,0,0,1183,1121,2
"61",2013,1123962100,92,0,37.5,3868,1867,1850,58,1070,29842,1482,817,665,1482,80100,28.825048,134.1888485,0,45.6987585,0,44.62390719,16253,0,0,0,0,0,0,0,0,1730,1123,2
"62",2013,1123962400,88,0,42.7,4720,3125,1458,3,1169,36694,1827,1269,558,1827,92700,311.017328,15.17600331,0,47.62997669,0,46.51949194,20223,0,0,0,0,0,0,0,0,2141,1123,1
"63",2013,1127020100,79,0,33,4167,2801,963,226,1108,38554,1419,906,513,1419,96100,69.804048,59.69567839,0,66.46258929,0,65.5866828,19955,0,0,0,0,0,0,0,0,1683,1127,1
"64",2013,1127021500,96,0,44.7,3079,2815,99,83,794,30492,1261,888,373,1261,60700,114.531652,26.88339814,0,64.94804596,0,64.06224226,18236,0,0,0,0,0,0,0,0,1586,1127,1
"65",2013,1127021800,93,0,38.8,3441,3142,72,58,904,33472,1335,919,416,1335,71300,43.85558,78.4620794,0,45.90448556,0,44.82322538,16687,0,0,0,0,0,0,0,0,1655,1127,1
"66",2013,4005000800,93,0,23.5,4533,2754,138,673,508,29092,1479,224,1255,1479,212100,5.956615,761.0026836,0,99.45060172,0,99.47627426,14005,1,26675.72,2806.19,1,1,26675.72,2806.19,1,1635,4005,1
"67",2013,4005001700,76,0,40,3521,2271,39,1034,912,49608,1445,945,500,1445,157100,249.869463,14.09135777,0,93.67870696,0,97.29339638,23356,0,0,0,0,0,0,0,0,1929,4005,2
"68",2013,4013109400,94,0,27.1,7790,1189,437,5639,1286,16489,2096,841,1255,2096,57500,2.627301,2965.019996,0,0,0,0,9788,0,0,0,0,0,0,0,0,2648,4013,1
"69",2013,4013110901,97,0,41.3,3121,1571,108,1315,683,24542,1490,533,957,1490,160800,1.328209,2349.780795,0,0,0,0,20117,0,0,0,0,0,0,0,0,1757,4013,1
"70",2013,4013114000,83,0,29.9,1747,545,396,715,292,22021,843,176,667,843,139400,2.617581,667.4101012,0,0,0,0,18294,0,0,0,0,0,0,0,0,1068,4013,1
"71",2013,4013114302,93,0,28.8,2555,78,801,1577,549,17649,845,134,711,845,74500,1.305757,1956.719359,0,0,0,0,8100,0,0,0,0,0,0,0,0,1188,4013,1
"72",2013,4013116602,95,0,26,8070,625,1564,5354,1780,44296,2174,1277,897,2174,106500,2.580074,3127.817264,0,0,0,0,14913,0,0,0,0,0,0,0,0,2289,4013,1
"73",2013,4013117300,71,0,19.8,1402,65,24,1284,368,13148,402,61,341,402,62500,8.068228,173.7680194,0,91.05803737,0,90.87947435,5477,0,0,0,0,5,29878.75,1796.26,5,561,4013,1
"74",2013,4013523102,96,0,27.2,5357,1903,235,2823,1141,55142,1624,665,959,1624,148200,2.600168,2060.251491,0,64.08576321,0,63.19074064,18453,0,0,0,0,0,0,0,0,1752,4013,1
"75",2013,4017960600,85,0,31.4,4798,1423,32,1270,1160,41678,1458,772,686,1458,119700,77.168414,62.17569795,0,97.01160634,0,97.01984934,21155,0,0,0,0,0,0,0,0,1515,4017,2
"76",2013,4019000100,100,0,36.3,487,267,9,194,49,14444,314,16,298,314,178633.3333,0.773401,629.6862818,0,0.269215837,0,24.22609556,21442,0,0,0,0,0,0,0,0,413,4019,1
"77",2013,4019001000,93,0,31.2,1030,162,174,685,198,33313,361,159,202,361,153400,1.113458,925.0461176,0,28.79108595,0,27.55539671,15704,0,0,0,0,0,0,0,0,433,4019,1
"78",2013,4019002300,67,0,32.4,5679,479,137,4755,1071,22867,1808,520,1288,1808,75900,2.649898,2143.101357,0,32.03035258,0,31.48402705,9863,0,0,0,0,1,12748.07,0,1,2175,4019,1
"79",2013,4021001200,71,0,35.2,5534,2938,150,2153,1204,46302,1693,1161,532,1693,101400,230.664442,23.99156087,0,86.29360435,0,86.00923737,19403,0,0,0,0,0,0,0,0,2142,4021,1
"80",2013,4023966401,72,0,31.9,3570,314,7,3240,833,26216,1038,550,488,1038,116000,8.065165,442.6443848,0,90.13027447,0,90.06570627,12215,0,0,0,0,2,48661.49,0,2,1148,4023,2
"81",2013,4027000301,93,0,29.7,3357,699,73,2550,917,28148,1280,677,603,1280,87000,3.372587,995.3783253,0,45.94994,0,45.84181008,13604,0,0,0,0,0,0,0,0,1380,4027,1
"82",2013,5019953700,84,0,43.5,4457,3763,510,8,1306,33034,1826,1408,418,1826,76500,1038.289475,4.292637176,0,82.18978358,0,81.81530764,19374,0,0,0,0,0,0,0,0,2189,5019,2
"83",2013,5019953900,92,0,40.3,5589,3660,1602,268,1540,36563,2145,1578,567,2145,64600,1039.464147,5.376808826,0,86.80238707,0,86.86836752,18243,0,0,0,0,1,0,38300,1,2943,5019,2
"84",2013,5021950500,100,0,38.5,2197,2102,14,50,604,34172,889,694,195,889,59300,23.798736,92.31582719,0,81.19916282,0,80.77885303,17878,0,0,0,0,0,0,0,0,1017,5021,2
"85",2013,5025970100,98,0,37.9,5301,4298,906,7,1426,41660,1875,1419,456,1875,84400,735.339753,7.208912585,0,80.61237576,0,80.18777149,20779,0,0,0,0,0,0,0,0,2226,5025,1
"86",2013,5029950300,77,0,42,5419,3952,934,442,1424,29593,2016,1207,809,2016,82400,79.509894,68.15503992,0,97.0540198,0,97.06521141,18170,0,0,0,0,1,12764.49,0,1,2317,5029,2
"87",2013,5031001000,100,0,43.8,3940,3696,4,192,1144,43621,1638,1201,437,1638,69400,392.058487,10.049521,0,88.44967094,0,88.2347281,20017,0,0,0,0,2,0,0,2,1884,5031,2
"88",2013,5033020600,86,0,31.6,10217,9255,211,502,2817,41092,3588,2598,990,3588,113400,90.076887,113.425323,0,70.72251501,0,86.48897564,19308,0,0,0,0,0,0,0,0,3773,5033,1
"89",2013,5035030600,51,0,33.7,4421,1548,2654,111,1098,29083,1634,803,831,1634,82000,448.909138,9.848318124,0,92.45965972,0,94.2252708,17145,0,0,0,0,4,111379.94,17629.33,4,2312,5035,1
"90",2013,5037950100,84,0,45.5,1659,615,1039,0,384,23722,659,394,265,659,44400,461.968944,3.591150491,0,58.81153546,0,57.87513059,16207,0,0,0,0,0,0,0,0,862,5037,1
"91",2013,5037950300,73,0,45.8,1406,1373,0,5,409,39528,631,540,91,631,68400,510.962907,2.751667451,0,54.32325662,0,54.98158025,23005,0,0,0,0,1,0,3031.56,1,791,5037,2
"92",2013,5039970100,81,0,44.8,1594,883,663,48,467,34954,703,569,134,703,62100,942.541026,1.691173069,0,74.6276408,0,74.08726013,19358,0,0,0,0,0,0,0,0,992,5039,2
"93",2013,5039970200,91,0,49.3,1722,1302,287,133,516,34875,706,605,101,706,60900,723.293776,2.38077536,0,73.24622391,0,72.65904217,19284,0,0,0,0,0,0,0,0,1094,5039,2
"94",2013,5041950400,90,0,37.1,2969,1154,1732,50,818,26158,1213,606,607,1213,59200,187.404703,15.84271874,0,95.13746849,0,95.09127399,15884,0,0,0,0,2,82091.57,2314.66,2,1496,5041,2
"95",2013,5051010600,90,0,30.9,4176,2155,1346,540,1104,23545,1634,725,909,1634,65200,23.7729,175.6622036,0,74.80162069,0,75.94023203,13591,0,0,0,0,0,0,0,0,2198,5051,1
