"","DEVELOPMENT_ID","STATE_NAME","INSPECTION_SCORE","year","in_floodplain","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","blockgroup","ALAND_b","AWATER_b","tract","ALAND_tr","AWATER_tr","pct_poor_poc1","pct_poor_poc2","pct_white","pct_poor","pct_elderly","log_income_pc","pct_renter","pop_density","CFLD_RISKV10","coastal","IFLD_RISKV10","CFLD_RISKS","IFLD_RISKS","STCO"
"20224","TN026000001","TN",86,2016,0,"47","107","970600","3","471079706003",4460018,0,"47107970600",166178870,39208,3.29029571012078,2.70720533111204,82.1917808219178,22.2063446699057,9.38356164383562,4.18636294039473,0.360805860805861,0.000327352938934327,NA,NA,740958.405945168,0,54.2789757412399,"47107"
"20225","TN030000001","TN",92,2016,1,"47","085","130300","1","470851303001",7386968,0,"47085130300",109384703,659974,3.98651328837763,3.98651328837763,75.7196495619524,19.96685998343,22.9036295369212,4.07144012717789,0.413333333333333,0.000108163457591802,NA,NA,2801192.37282403,0,96.7654986522911,"47085"
"20226","TN076000001","TN",99,2017,0,"47","019","070300","3","470190703003",5814540,0,"47019070300",8828165,0,2.57472092185812,2.57472092185812,92.7188552188552,24.8081350729087,16.0774410774411,4.25700621791231,0.512486427795874,0.000408630777327183,NA,NA,1064110.8078639,0,72.6162398921833,"47019"
"20227","TN009000001","TN",90,2017,0,"47","131","965600","1","471319656001",10852660,0,"47131965600",19143656,19384,27.6079818135893,24.8295023995959,43.4294871794872,38.8151174668029,15.4647435897436,4.16079855353835,0.623552123552124,0.000114994849189047,NA,NA,458833.735529124,0,30.4729615902965,"47131"
"20228","TN045000001","TN",93,2017,0,"47","157","020300","2","471570203002",1603196,0,"47157020300",15413673,0,19.3696883852691,14.3767705382436,47.2020504058095,33.1595974119339,6.27936779154208,4.18508864275792,0.787037037037037,0.00146020823405248,NA,NA,657127.138250234,0,48.3195754716981,"47157"
"20229","TN077000001","TN",87,2017,0,"47","015","960200","2","470159602002",5220644,0,"47015960200",246705069,0,1.14829396325459,1.01706036745407,95.3736654804271,20.3951774949766,21.9454329774614,4.39181692361325,0.367052023121387,0.000161474331519253,NA,NA,1065654.81539522,0,72.6667789757412,"47015"
"20230","TN069000001","TN",82,2017,0,"47","183","968300","2","471839683002",40058658,359567,"47183968300",122331406,390330,1.34199134199134,1.34199134199134,86.8271057631412,19.4178974804518,19.632678910703,4.30356321591725,0.389855072463768,3.94171966519697e-05,NA,NA,191694.381262674,0,4.64959568733154,"47183"
"20231","TN088000001","TN",88,2017,0,"47","001","020201","1","470010202011",24593148,2567160,"47001020201",25496847,2567160,0.604077523282155,0,87.43961352657,4.35007767995857,13.2850241545894,4.72566666031418,0.341645885286783,0.00011783770015941,NA,NA,1156911.51705233,0,76.1813510781671,"47001"
"20232","TN125000001","TN",94,2017,0,"47","051","960400","1","470519604001",5208682,15348,"47051960400",39820950,4552418,2.2963438101347,2.2193713919179,68.3377308707124,12.1792366809952,15.0835532102023,4.27521918678215,0.514902363823227,0.000436578773670575,NA,NA,1004045.40048288,0,69.7355121293801,"47051"
"20233","TN028000001","TN",86,2017,0,"47","031","970400","4","470319704004",2542396,0,"47031970400",113670226,6910314,5.19558077037922,3.89668557778441,59.3186372745491,18.9714644089056,11.2892451569806,4.22512828798209,0.727688787185355,0.000588814645712155,NA,NA,561776.727173376,0,40.1680424528302,"47031"
"20234","TN013000001","TN",76,2017,0,"47","075","930400","2","470759304002",50448695,59298,"47075930400",108439257,173125,17.4729799279465,17.4729799279465,48.5207100591716,21.6932578486876,18.3431952662722,4.44770056043451,0.452153110047847,2.34495659402092e-05,NA,NA,1044155.54980293,0,71.6349393530997,"47075"
"20235","TN041000001","TN",74,2017,0,"47","167","040700","1","471670407001",1365695,0,"47167040700",6727111,0,20.4085975739519,18.1953607150458,4.82456140350877,38.2119205298013,4.07268170426065,4.00259798071991,0.806818181818182,0.00116863574956341,NA,NA,648089.903336582,0,47.6204514824798,"47167"
"20236","TN013000002","TN",79,2017,0,"47","075","930301","1","470759303011",74511167,49998,"47075930301",80882236,79287,14.7249190938511,11.8585298196949,39.5167022032694,19.9953767914933,9.73702914001422,4.25015153511661,0.40343347639485,1.88830756066403e-05,NA,NA,502060.399456547,0,34.638224393531,"47075"
"20237","TN075000001","TN",77,2017,0,"47","045","964000","2","470459640002",11949628,0,"47045964000",235626889,269222,0.492170022371365,0.447427293064877,93.827775012444,17.4510106465052,10.4529616724739,4.34721288640486,0.37452711223203,0.000168122388412426,NA,NA,376523.458564633,0,21.7086421832884,"47045"
"20238","TN001000050","TN",93,2017,0,"47","157","002000","2","471570020002",464226,0,"47157002000",965098,0,43.1183341797867,42.3057389537836,6.37775960752249,45.5297157622739,7.44071954210957,4.05346260492546,0.615751789976134,0.00263449268244347,NA,NA,251180.54185491,0,9.11388140161725,"47157"
"20239","TN090000003","TN",81,2017,0,"47","111","970300","2","471119703002",9783510,0,"47111970300",177893167,0,1.05226236408278,1.05226236408278,89.9103139013453,21.5626523647001,13.6771300448431,4.18369680863468,0.429787234042553,0.000136760733111123,NA,NA,650217.084317659,0,47.8836758760108,"47111"
"20240","TN014000002","TN",100,2017,0,"47","103","975300","1","471039753001",1038168,0,"47103975300",88465212,0,15.7286432160804,12.7303182579564,39.9772209567198,26.7947421638018,11.7312072892938,3.92885653358191,0.972644376899696,0.000845720538487027,NA,NA,1404792.02808965,0,83.4652964959569,"47103"
"20241","TN011000004","TN",100,2017,0,"47","055","920300","4","470559203004",1418347,0,"47055920300",309535308,110213,3.7413238530557,3.28423903842898,38.0597014925373,11.0208227526663,10.7675906183369,4.27744875926448,0.649484536082474,0.000661333228046451,NA,NA,716207.557021797,0,52.5690700808625,"47055"
"20242","TN061000001","TN",95,2017,0,"47","105","060202","5","471050602025",3239375,0,"47105060202",14449433,422598,7.49105269653215,6.66419844502036,84.1112682696841,25.1758607922991,10.2310231023102,4.20771513380557,0.441595441595442,0.000654755932857419,NA,NA,598393.432828252,0,43.6047001347709,"47105"
"20243","TN049000001","TN",87,2017,0,"47","071","920400","2","470719204002",1670145,0,"47071920400",34476656,1577443,7.56767437265363,6.65876309029836,97.6893453145058,35.5330996081666,32.4775353016688,4.19100363406798,0.498800959232614,0.000466426567753099,NA,NA,508958.041019223,0,35.2825977088949,"47071"
"20244","TN001000062","TN",95,2017,0,"47","157","022330","1","471570223301",2118915,0,"47157022330",4212774,0,20.147802411513,20.147802411513,0,20.147802411513,13.2911392405063,4.13177900936919,0.512765957446809,0.000671098179964746,NA,NA,420611.646855535,0,26.6698955525606,"47157"
"20245","TN001000064","TN",95,2017,0,"47","157","004600","1","471570046001",1281530,0,"47157004600",1281530,0,30.379746835443,29.3512658227848,13.8449367088608,38.1329113924051,11.7088607594937,4.26932611071024,0.897239263803681,0.000986321038134105,NA,NA,430812.781899038,0,27.861775606469,"47157"
"20246","TN001000068","TN",95,2017,0,"47","157","022330","1","471570223301",2118915,0,"47157022330",4212774,0,20.147802411513,20.147802411513,0,20.147802411513,13.2911392405063,4.13177900936919,0.512765957446809,0.000671098179964746,NA,NA,420611.646855535,0,26.6698955525606,"47157"
"20247","TN038000001","TN",64,2018,0,"47","063","100300","1","470631003001",2701722,0,"47063100300",4174790,0,27.7372262773723,28.8321167883212,70.8630245447348,51.6329704510109,11.6389548693587,3.90810954039255,0.801094890510949,0.000467479629658418,NA,NA,762064.929612563,0,55.7551381401617,"47063"
"20248","TN010000002","TN",44,2018,0,"47","125","100400","1","471251004001",1463330,0,"47125100400",3871787,61432,23.2099514563107,23.2099514563107,42.124166239097,37.1882793017456,8.00410466906106,4.1502650869787,0.743988684582744,0.00133189369451867,NA,NA,1308847.15537604,0,81.0394204851752,"47125"
"20249","TN004000032","TN",93,2018,0,"47","065","012200","3","470650122003",670820,0,"47065012200",2830666,0,22.4191404519273,22.4191404519273,11.2328767123288,26.0522817899867,14.7945205479452,4.09853989799286,0.755364806866953,0.00163233058048359,NA,NA,605634.107741019,0,44.1290431266846,"47065"
"20250","TN025000001","TN",88,2018,0,"47","053","966700","4","470539667004",41579218,14266,"47053966700",152358968,14266,9.80250045298061,5.83439028809567,58.9973614775726,24.9273678094131,12.9287598944591,4.10720996964787,0.436390532544379,4.5575652721511e-05,NA,NA,428816.639320587,0,27.5122136118598,"47053"
"20251","TN007000160","TN",91,2018,0,"47","113","001000","1","471130010001",294208,0,"47113001000",2731479,0,31.4698795180723,31.0361445783133,12.9310344827586,44.9973808276585,28.8793103448276,3.96236933567002,0.69047619047619,0.000788557755057646,NA,NA,277345.575329122,0,11.5608153638814,"47113"
"20252","TN002000001","TN",92,2018,0,"47","179","060100","3","471790601003",814716,0,"47179060100",2414397,0,9.15792458179756,7.93875815140346,82.4390243902439,40.0929692039512,12.6829268292683,4.28461118236977,0.645161290322581,0.00150972854344336,NA,NA,496185.986524081,0,34.137045148248,"47179"
"20253","TN008000001","TN",87,2018,0,"47","079","969300","2","470799693002",2926572,0,"47079969300",34673406,390931,18.9702643171806,15.5837004405286,44.2011354420113,37.5937680323139,13.7064071370641,3.99056082999402,0.494279176201373,0.000421312033327729,NA,NA,529242.078027974,0,37.0304076819407,"47079"
"20254","TN031000001","TN",93,2018,0,"47","053","966400","3","470539664003",2483890,0,"47053966400",119721072,1296028,2.60517174835971,0.791200308761096,64.90727532097,12.8714781937476,11.5549215406562,4.24454924289789,0.465564738292011,0.000282218616766443,NA,NA,641223.324393641,0,47.1087432614555,"47053"
"20255","TN002000002","TN",91,2018,0,"47","179","060900","1","471790609001",1684225,0,"47179060900",6272399,0,8.45442536327609,7.34808454425363,86.8971792538672,36.969696969697,4.27661510464058,3.97358962342726,0.72209026128266,0.000652525642357761,NA,NA,389335.32447378,0,23.0079177897574,"47179"
"20256","TN010000001","TN",40,2018,0,"47","125","100800","1","471251008001",2055338,109229,"47125100800",3919143,109229,24.4631901840491,22.6226993865031,43.6725901992461,45.3056768558952,4.25417339795369,4.00190670404089,0.822546972860125,0.000903501030000905,NA,NA,2661849.4569671,0,96.348551212938,"47125"
"20257","TN081000001","TN",91,2018,0,"47","171","080400","1","471710804001",911249,0,"47171080400",4777193,0,7.26853187193539,7.26853187193539,97.0238095238095,22.5305878842137,35.9126984126984,4.36004404532226,0.25609756097561,0.0005530870267073,NA,NA,348014.75152751,0,18.4214959568733,"47171"
"20258","TN073000001","TN",95,2018,0,"47","165","020300","3","471650203003",3724008,0,"47165020300",14629299,0,3.55754276827372,1.84681181959565,90.3397027600849,20.8786936236392,7.96178343949045,4.27251458965095,0.558208955223881,0.000252953269702965,NA,NA,593277.761989566,0,43.1414252021563,"47165"
"20259","TN027000001","TN",77,2018,1,"47","053","966900","3","470539669003",720454,0,"47053966900",47053933,13490,32.9297820823245,32.6472962066182,5.68181818181818,37.2301425661914,19.7727272727273,4.19537375481741,0.491803278688525,0.00061072601442979,NA,NA,954117.901121449,0,67.3243766846361,"47053"
"20260","TN006000001","TN",84,2018,0,"47","163","040200","2","471630402002",1296038,0,"47163040200",9316887,769881,8.61027190332326,6.19335347432024,86.3293051359517,29.7540023428348,22.3564954682779,4.40227858189556,0.59789156626506,0.00102157498468409,NA,NA,1341176.99603859,0,81.9196428571429,"47163"
"20261","TN006000002","TN",68,2018,0,"47","163","040600","2","471630406002",497814,0,"47163040600",4239483,0,5.86091709687215,5.83054965077437,89.9696048632219,34.3065693430657,5.36980749746707,3.85654764485675,0.758409785932722,0.00198266822548181,NA,NA,707690.674458836,0,51.9520721024259,"47163"
"20262","TN068000001","TN",81,2018,0,"47","041","920300","1","470419203001",117715352,0,"47041920300",348499236,12303493,0.759878419452888,0.759878419452888,93.2179930795848,10.4731018695155,23.8062283737024,4.33489586301188,0.194528875379939,1.22753742434547e-05,NA,NA,2479471.56442924,0,95.6262634770889,"47041"
"20263","TN059000001","TN",87,2018,0,"47","101","970200","4","471019702004",15410380,0,"47101970200",220824339,103892,0.203693644758284,0.203693644758284,89.2638036809816,21.4893320317947,11.8098159509202,4.36556285679556,0.513067400275103,0.000126927434625233,NA,NA,1053908.1097629,0,72.1929750673854,"47101"
"20264","TN016000001","TN",88,2018,0,"47","123","925200","1","471239252001",50126739,4544,"47123925200",55645463,4544,2.87722380847793,2.7234790248188,92.8722952906237,20.797656602073,23.4620280016971,4.40294882934441,0.334101382488479,4.70208125846766e-05,NA,NA,684380.837516166,0,50.3390330188679,"47123"
"20265","TN044000001","TN",84,2018,0,"47","185","935400","3","471859354003",11734486,0,"47185935400",28231957,0,3.81757622341788,2.07532667179093,87.5127942681679,17.7607199576496,22.3132036847492,4.16955688243219,0.460199004975124,8.32588662170631e-05,NA,NA,1143132.26868127,0,75.3832547169811,"47185"
"20266","TN063000001","TN",91,2018,0,"47","155","081000","3","471550810003",9439534,0,"47155081000",62078320,7680,1.77914110429448,0.782208588957055,78.6568013659647,10.0718301061836,13.6596471257826,4.23668838176462,0.700751879699248,0.000186132069655133,NA,NA,2065869.78604688,0,92.9834905660377,"47155"
"20267","TN011000001","TN",84,2018,0,"47","055","920300","4","470559203004",1418347,0,"47055920300",309535308,110213,4.2403464453266,3.87946589678816,45.4545454545455,10.4474918801877,7.7733860342556,4.11186714680447,0.746397694524496,0.000535129978771062,NA,NA,716207.557021797,0,52.5690700808625,"47055"
"20268","TN019000001","TN",94,2018,0,"47","089","070600","1","470890706001",2732432,0,"47089070600",48432618,0,1.86140803538518,1.86140803538518,82.7956989247312,13.3295194508009,19.4743130227001,4.23892384599242,0.595360824742268,0.000306320523255474,NA,NA,734369.471372067,0,53.6556603773585,"47089"
"20269","TN064000001","TN",95,2018,0,"47","105","060600","1","471050606001",5449018,1477245,"47105060600",39780958,3848387,2.60566270004103,2.21583914649159,80.2307692307692,13.0283135002052,20.1538461538462,4.49487781563754,0.283495145631068,0.00023857509738452,NA,NA,758400.473249782,0,55.5235006738544,"47105"
"20270","TN012000006","TN",92,2018,0,"47","151","975100","3","471519751003",29215528,17380,"47151975100",309467069,1245368,0.0485436893203883,0,98.4570168993387,28.2554877042416,13.73989713446,4.34873310379829,0.462662337662338,4.65848161292858e-05,NA,NA,555616.114055246,0,39.7784703504043,"47151"
"20271","TN001000021","TN",85,2018,0,"47","157","011700","1","471570117001",3531932,0,"47157011700",3531932,0,39.385275196569,39.385275196569,4.28877769835597,44.770206022187,28.2344531808435,4.18255730130491,0.5,0.000396100491175934,NA,NA,361148.952721903,0,19.9481974393531,"47157"
"20272","TN001000071","TN",99,2018,0,"47","157","002400","2","471570024002",338408,0,"47157002400",1241870,0,35.9491451117931,35.7299430074529,3.05732484076433,37.0601336302895,15.1592356687898,4.20873687711441,0.934844192634561,0.0023196851138271,NA,NA,324961.946367893,0,16.2019878706199,"47157"
"20273","TN001000056","TN",96,2018,0,"47","157","002100","1","471570021001",771180,20044,"47157002100",771180,20044,42.7581427581428,40.8870408870409,12.5433125433125,45.1408450704225,10.7415107415107,4.39035212583322,0.778637770897833,0.00187115848440053,NA,NA,493226.289463377,0,33.7811657681941,"47157"
"20274","TN001000072","TN",99,2018,0,"47","157","022310","1","471570223101",862250,0,"47157022310",6561018,15679,41.9426751592357,41.9426751592357,0,41.9426751592357,12.6642771804062,4.0360697006977,1,0.000970716149608582,NA,NA,951506.724587541,0,67.136960916442,"47157"
